GEN,REP,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
HD3171,1,70,95,25,77,7.8,0.93,36,320.0,298,1236,25.83
HD3171,2,70,97,27,77,7.6,0.94,34,310.0,291,1206,27.65
HD3171,3,70,96,26,77,7.7,0.94,35,315.0,295,1221,26.71
DW1616,1,73,88,15,68,9.5,1.12,38,310.0,347,850,29.87
DW1616,2,73,90,17,69,9.5,1.11,38,305.0,339,810,29.21
DW1616,3,73,89,16,68,9.5,1.12,38,307.5,343,830,29.54
HD2864,1,71,95,24,65,9.0,0.65,25,315.0,205,923,26
HD2864,2,71,97,26,66,9.3,0.66,29,312.0,204,924,22.59
HD2864,3,71,96,25,66,9.2,0.65,27,313.5,205,924,24.17
HD3086,1,50,81,31,64,8.7,0.59,31,395.0,232,1001,19.06
HD3086,2,50,83,33,66,8.7,0.59,29,400.0,235,1041,20.24
HD3086,3,50,82,32,65,8.7,0.59,30,397.5,233,1021,19.63
HD3249,1,67,92,25,66,9.8,1.02,38,260.0,265,956,26.89
HD3249,2,67,94,27,66,8.9,1.19,36,265.0,315,957,33.06
HD3249,3,67,93,26,66,9.4,1.10,37,262.5,290,957,29.89
DW1627,1,61,92,31,64,8.0,0.60,31,330.0,197,754,19.17
DW1627,2,59,90,31,65,8.5,0.60,33,335.0,200,764,18.12
DW1627,3,60,91,31,65,8.2,0.60,32,332.5,199,759,18.63
DW1628,1,66,92,26,66,8.9,0.86,35,250.0,216,1200,24.63
DW1628,2,64,90,26,66,8.9,0.82,34,255.0,209,1210,24.12
DW1628,3,65,91,26,66,8.9,0.84,35,252.5,212,1205,24.38
DW1629,1,65,89,24,70,7.0,0.64,32,243.0,156,1323,20.32
DW1629,2,67,91,24,71,7.6,0.60,32,240.0,144,1343,18.75
DW1629,3,66,90,24,71,7.3,0.62,32,241.5,150,1333,19.53
HD3184,1,72,94,22,67,8.0,0.84,36,280.0,235,750,23.63
HD3184,2,74,96,22,69,8.6,0.83,34,285.0,237,754,24.41
HD3184,3,73,95,22,68,8.3,0.83,35,282.5,236,752,24.01
HD3252,1,70,97,27,69,8.9,0.90,37,275.0,248,1003,24.25
HD3252,2,70,97,27,69,9.2,0.92,36,280.0,258,1043,25.61
HD3252,3,70,97,27,69,9.0,0.91,37,277.5,253,1023,24.92
DW1630,1,72,96,24,70,9.5,0.92,36,314.0,289,1100,25.53
DW1630,2,71,95,24,71,9.8,0.91,35,320.0,291,1110,26
DW1630,3,72,95.5,24,71,9.7,0.91,36,317.0,290,1105,25.76
HD2932,1,70,94,24,63,8.9,0.86,35,276.0,236,1002,24.29
HD2932,2,70,95,25,63,8.7,0.85,36,280.0,238,1042,23.61
HD2932,3,70,94.5,24.5,63,8.8,0.85,36,278.0,237,1022,23.95
DW1631,1,74,92,18,66,8.3,0.86,36,275.0,236,1006,24.13
DW1631,2,74,93,19,66,8.3,0.89,37,265.0,236,1016,24.05
DW1631,3,74,92.5,18.5,66,8.3,0.87,36,270.0,236,1011,24.09
DW1632,1,70,90,20,60,8.1,1.10,40,285.0,313,903,27.77
DW1632,2,68,88,20,60,8.0,1.17,38,300.0,351,943,30.79
DW1632,3,69,89,20,60,8.1,1.13,39,292.5,332,923,29.25
WR544,1,46,80,34,68,7.9,0.73,33,281.0,205,503,22.13
WR544,2,46,78,32,69,8.0,0.78,34,302.0,236,513,22.94
WR544,3,46,79,33,68,8.0,0.75,33,291.5,220,508,22.54
HD3255,1,74,100,26,50,10.5,1.20,40,440.0,528,1145,29.83
HD3255,2,74,99,25,51,10.2,1.39,39,430.0,598,1135,35.64
HD3255,3,74,99.5,25.5,51,10.4,1.29,40,435.0,563,1140,32.69
DW1633,1,76,99,23,77,10.0,1.33,42,350.0,464,906,31.6
DW1633,2,76,97,21,77,10.2,1.37,40,332.0,455,976,34.25
DW1633,3,76,98,22,77,10.1,1.35,41,341.0,460,941,32.89
DW1634,1,69,99,30,67,8.9,1.37,42,460.0,629,1022,32.55
DW1634,2,68,96,28,67,8.9,1.36,41,453.0,616,1023,33.17
DW1634,3,69,97.5,29,67,8.9,1.36,42,456.5,622,1023,32.86
DW1635,1,74,95,21,66,9.4,1.36,42,473.0,645,734,32.45
DW1635,2,74,93,19,65,9.5,1.38,41,470.0,650,736,33.73
DW1635,3,74,94,20,66,9.5,1.37,42,471.5,647,735,33.08
HD3090,1,70,101,31,64,7.0,1.20,40,304.0,365,1001,30.38
HD3090,2,70,99,29,64,7.2,1.22,38,300.0,366,991,32.11
HD3090,3,70,100,30,64,7.1,1.21,39,302.0,365,996,31.23
HD3262,1,69,102,33,82,8.3,1.35,39,530.0,716,1263,34.44
HD3262,2,69,100,31,81,8.6,1.50,37,500.0,750,1223,40.54
HD3262,3,69,101,32,81,8.5,1.43,38,515.0,734,1243,37.4
DW1636,1,70,95,25,85,9.8,1.78,45,425.0,757,1108,39.4
DW1636,2,69,94,25,87,9.6,1.71,41,435.0,744,1008,41.71
DW1636,3,70,94.5,25,86,9.7,1.75,43,430.0,751,1058,40.5
DW1637,1,69,102,33,76,9.7,1.25,43,350.0,436,758,29.34
DW1637,2,69,99,30,78,9.2,1.27,40,340.0,432,708,31.75
DW1637,3,69,100.5,31.5,77,9.5,1.26,41,345.0,434,733,30.51
DW1638,1,72,101,29,73,8.2,1.60,30,320.0,512,1005,53.33
DW1638,2,70,98,28,75,8.3,1.54,28,310.0,477,995,55
DW1638,3,71,99.5,28.5,74,8.3,1.57,29,315.0,495,1000,54.14
DW1639,1,73,97,24,54,7.9,0.86,32,290.0,249,561,26.78
DW1639,2,72,96,24,55,8.2,0.85,31,280.0,238,541,27.42
DW1639,3,73,96.5,24,55,8.1,0.85,32,285.0,243,551,27.1
DW1640,1,73,99,26,62,9.1,0.80,33,333.0,266,751,23.99
DW1640,2,70,95,25,64,8.9,0.79,32,315.0,249,721,24.69
DW1640,3,72,97,25.5,63,9.0,0.79,33,324.0,257,736,24.33
HD3318,1,66,98,32,70,8.4,0.73,30,430.0,314,781,24.17
HD3318,2,69,99,30,72,8.7,0.73,30,390.0,285,741,24.33
HD3318,3,68,98.5,31,71,8.5,0.73,30,410.0,299,761,24.25
HD3265,1,65,99,34,67,9.5,1.23,42,430.0,527,1240,29.17
HD3265,2,65,97,32,67,9.1,1.12,41,435.0,485,1140,27.2
HD3265,3,65,98,33,67,9.3,1.17,42,432.5,506,1190,28.19
DW1642,1,71,95,24,70,8.1,1.16,41,472.0,547,781,28.34
DW1642,2,71,93,22,71,8.0,1.19,41,470.0,559,711,29.02
DW1642,3,71,94,23,71,8.1,1.17,41,471.0,553,746,28.68
DW1643,1,74,98,24,63,10.0,1.04,40,345.0,357,753,25.81
DW1643,2,74,97,23,64,10.5,1.05,38,344.0,361,713,27.63
DW1643,3,74,97.5,23.5,63,10.2,1.04,39,344.5,359,733,26.7
DW1644,1,74,98,24,66,8.4,1.42,37,305.0,432,750,38.24
DW1644,2,74,96,22,65,8.5,1.45,39,310.0,450,760,37.18
DW1644,3,74,97,23,66,8.5,1.43,38,307.5,440,755,37.7
DW1645,1,73,93,20,69,10.2,1.35,47,310.0,419,502,29.05
DW1645,2,72,92,20,70,9.9,1.31,48,290.0,380,512,27.29
DW1645,3,73,92.5,20,70,10.1,1.33,47,300.0,399,507,28.16
HD3059,1,74,97,23,74,7.2,1.44,37,378.0,544,746,38.76
HD3059,2,73,95,22,74,7.6,1.34,39,365.0,488,756,34.31
