ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E1,1,HD3171,90,132,42,94,8.5,2.48,59,518,1283,1900,41.98
E1,1,DW1616,93,134,41,94,9.3,2.09,47,375,783,1900,44.42
E1,1,HD2864,91,128,37,95,9.7,1.75,45,564,987,1300,38.89
E1,1,HD3086,78,125,47,94.33,9.8,1.26,38,455,574,1700,33.22
E1,1,HD3249,88,129,41,96.67,10.4,2.09,45,425,887,1750,46.4
E1,1,DW1627,83,123,40,95.67,8.6,1.52,46,510,776,1520,33.07
E1,1,DW1628,87,129,42,93.67,9,1.88,44,580,1088,1760,42.65
E1,1,DW1629,87,130,43,86.67,7,2.05,48,522,1068,1510,42.62
E1,1,HD3184,94,135,41,94,8.7,2.26,54,575,1297,1755,41.77
E1,1,HD3252,91,129,38,100,10.3,2.19,52,540,1181,2000,42.07
E1,1,DW1630,93,135,42,99.67,10.3,1.91,47,560,1068,2263,40.59
E1,1,HD2932,91,133,42,80.67,9.1,1.23,38,620,763,1769,32.4
E1,1,DW1631,93,133,40,90.67,10,2.42,58,690,1670,2200,41.72
E1,1,DW1632,91,134,43,88.67,8.4,1.91,48,620,1184,1635,39.79
E1,1,WR544,73,118,45,94,8.4,1.81,44,475,862,1920,41.24
E1,1,HD3255,94,134,40,100,11.1,1.98,46,509,1010,2110,43.12
E1,1,DW1633,95,135,40,94.33,10.7,2.05,51,390,798,1818,40.11
E1,1,DW1634,90,133,43,94.33,9.4,1.81,44,502,909,2159,41.14
E1,1,DW1635,93,135,42,86.33,10,2.27,53,510,1156,1712,42.77
E1,1,HD3090,92,133,41,91.67,7.9,1.41,42,350,494,1743,33.62
E1,1,HD3262,91,131,40,98.67,9,2.19,51,698,1529,1925,42.94
E1,1,DW1636,91,135,44,85,10.9,2.06,50,450,926,1410,41.13
E1,1,DW1637,91,132,41,94.67,10.3,2.12,51,465,985,1645,41.55
E1,1,DW1638,92,130,38,89.67,8.8,1.31,38,452,591,1228,34.42
E1,1,DW1639,93,131,38,74.67,8,1.77,44,485,860,1531,40.3
E1,1,DW1640,93,131,38,93.33,9.4,1.94,46,595,1153,1601,42.12
E1,1,HD3318,87,128,41,99.67,9.1,2.49,59,533,1327,1940,42.18
E1,1,HD3265,88,128,40,88.33,10,1.99,47,660,1315,1801,42.39
E1,1,DW1642,93,134,41,93.33,9,2.1,51,503,1054,1580,41.08
E1,1,DW1643,95,134,39,92,11.1,1.84,42,408,751,1551,43.84
E1,1,DW1644,93,135,42,89.67,9.1,1.93,47,401,772,1501,40.97
E1,1,DW1645,92,127,35,92.33,11,2.09,49,542,1132,1750,42.61
E1,1,HD3059,93,130,37,93,8.7,2.17,50,570,1238,1955,43.44
E1,1,HD3266,91,130,39,93,9.9,2.26,52,605,1369,1996,43.5
E1,1,DW1615,94,133,39,92.67,9.8,1.93,46,630,1215,1652,41.93
E1,1,HDCSW18,97,130,33,94,9.6,2.06,48,540,1112,1802,42.92
E1,2,HD3171,91,127,36,92.33,8.8,2.58,58,520,1340,1998,44.43
E1,2,DW1616,93,128,35,94,10.1,2.19,45,365,799,1920,48.62
E1,2,HD2864,91,129,38,95.33,10.3,1.65,43,570,941,1320,38.37
E1,2,HD3086,79,127,48,94,10,1.16,37,450,523,1750,31.41
E1,2,HD3249,89,129,40,99,10.7,2.09,42,430,898,1755,49.71
